2017-10-22 23:10:03,893 [onode        27] [INFO ]  logging for the first time 
2017-10-22 23:10:07,591 [replica_0    126] [DEBUG]  getUnsignedData for request_id_en : b"\xb8\xd1\x11\x14\xd8\x16V\xc0,\xc7\xab\xb3\xcd$#\xa1!\x1f5/\xcd\xdd<(\r\xbbXd\x13V\xe5,[:^|'\xbca\x8c\x82\x97\xf2\xba\xb2\xc5\xceq\x0ca\x8a\xf7\xeb|\xd5\x82\xfb\xa7z\x13J\xd6G\x0810ee4619-1471-4469-927a-e2d0afc44b61"
2017-10-22 23:10:07,593 [replica_0    138] [DEBUG]  request_id : 10ee4619-1471-4469-927a-e2d0afc44b61, unsigned successfully
2017-10-22 23:10:07,593 [replica_0    321] [INFO ]  PERFORM_OPERATION at HEAD Replica request_id : 10ee4619-1471-4469-927a-e2d0afc44b61, operation : put('movie','star'), client : <Client:85802#client_1>
2017-10-22 23:10:07,595 [replica_1    126] [DEBUG]  getUnsignedData for request_id_en : b'L\xd5\xde \x9f\x8c/\xa7\xc3l\xa8\xee\x85\xc9[\xbc\x10\xf0\xfb2\x1c\x16\xc5\x91\xcc\x08&\x89\x90\xb9s\xd7\xd2\xe0o\xfb\xc5\x94\xa9;J90D\xabr\xe4\x19\xe3/\xbe{\xd5\xcb\x9652\xcd\\\xfc\xb5Z\x82\x01ed45b61a-006e-4948-83ea-15365f7702be'
2017-10-22 23:10:07,595 [replica_0    277] [INFO ]  Executing Operation in dictonary. operation : put('movie','star')
2017-10-22 23:10:07,596 [replica_0    328] [DEBUG]  after execute Operation, result proof: [b'\xdeH\x0c\xcb\n\x1f\xdb\x11%\xee\x83\xc8v\x0e0\x97\xed\x94\xf0m\xd5&?\xa7\xd2\xce\x1f\x12g\x8bi\xfe\x83(o\xfb\x88\x01A\x8f\x08\x1f/8B*\xb3\xb4\xcbn\xb9\xff\xf5\xd0.@v\xb3\x1bH\xb2\xad\xff\x00(1, "put(\'movie\',\'star\')")']
2017-10-22 23:10:07,597 [replica_1    138] [DEBUG]  request_id : ed45b61a-006e-4948-83ea-15365f7702be, unsigned successfully
2017-10-22 23:10:07,597 [replica_0    193] [DEBUG]  inside getResult_Order_Proof function for creating the current tuple
2017-10-22 23:10:07,597 [replica_1    346] [INFO ]  PERFORM_OPERATION called at NONHEAD Replica request_id : ed45b61a-006e-4948-83ea-15365f7702be, operation : put('movie','star'), client : <Client:c3002#client_0>, from Replica : <Replica:d2002#replica_0>
2017-10-22 23:10:07,598 [replica_0    189] [DEBUG]  orignal message : (2, "put('movie','star')"), signedMsg : b'\xb3T\x97\xb2\xe6k\xabC\x05\x07^R\xfa\xc0|\x03\xdc|\x03 D\xc8\x9d\xfc\xde\xfe]gO\x00W\xc6\x19"\x87\x0f\x99\x1c\x1f\xfaH\x81okS\x1f\xfc\xa4\xa6\xf8\xb4\x93\xb6\x10v\xb25\xd8\xf5\xe541\xe4\x05(2, "put(\'movie\',\'star\')")'
2017-10-22 23:10:07,605 [replica_1    347] [DEBUG]  SHUTTLE : ([b'\xdeH\x0c\xcb\n\x1f\xdb\x11%\xee\x83\xc8v\x0e0\x97\xed\x94\xf0m\xd5&?\xa7\xd2\xce\x1f\x12g\x8bi\xfe\x83(o\xfb\x88\x01A\x8f\x08\x1f/8B*\xb3\xb4\xcbn\xb9\xff\xf5\xd0.@v\xb3\x1bH\xb2\xad\xff\x00(1, "put(\'movie\',\'star\')")'], [b'A\xaf\x1bGRD\xcd\xc8_\xe4d3\x8e\x1f\x16{\x1a]\\\xd3\xf2\xad\xdd~?\xf7/\xbd\x05\x89\xd1\r\xbfE\xc3\xcbv\xd3F\xbf\xe9)\xe7F\xd4\xc4\xa2;\xee\x80o\x15\xff\x07\x85\x01g\xda\x01\']y\xc2\x06(\'ok\', "put(\'movie\',\'star\')", b\'75db4aa93bd27850bc6dff0c8ba9420193961504b96d39627595f3aa8e60af63\')']), SLOT : 1
2017-10-22 23:10:07,605 [replica_0    189] [DEBUG]  orignal message : ('ok', "put('movie','star')", b'75db4aa93bd27850bc6dff0c8ba9420193961504b96d39627595f3aa8e60af63'), signedMsg : b'A\xaf\x1bGRD\xcd\xc8_\xe4d3\x8e\x1f\x16{\x1a]\\\xd3\xf2\xad\xdd~?\xf7/\xbd\x05\x89\xd1\r\xbfE\xc3\xcbv\xd3F\xbf\xe9)\xe7F\xd4\xc4\xa2;\xee\x80o\x15\xff\x07\x85\x01g\xda\x01\']y\xc2\x06(\'ok\', "put(\'movie\',\'star\')", b\'75db4aa93bd27850bc6dff0c8ba9420193961504b96d39627595f3aa8e60af63\')'
2017-10-22 23:10:07,606 [replica_1    146] [INFO ]  request_id : ed45b61a-006e-4948-83ea-15365f7702be, operation : put('movie','star'), client : <Client:c3002#client_0>, validateOrderProof
2017-10-22 23:10:07,606 [replica_0    174] [DEBUG]  updateShuttle at Replica : <Replica:d2002#replica_0>
